x,y,z
551.534,2733.62,1585
548.011,2738.25,1586
544.48,2742.9,1587
540.939,2747.59,1588
537.39,2752.3,1589
533.831,2757.04,1590
530.263,2761.81,1591
526.686,2766.6,1592
523.099,2771.43,1593
519.503,2776.28,1594
515.897,2781.16,1595
512.282,2786.07,1596
508.657,2791.01,1597
505.022,2795.98,1598
501.378,2800.98,1599
497.723,2806.01,1600
494.059,2811.07,1601
490.385,2816.16,1602
486.7,2821.29,1603
483.005,2826.44,1604
479.3,2831.62,1605
475.585,2836.84,1606
471.859,2842.09,1607
468.123,2847.37,1608
464.376,2852.68,1609
460.618,2858.03,1610
456.85,2863.41,1611
453.07,2868.82,1612
449.28,2874.27,1613
445.478,2879.75,1614
441.665,2885.27,1615
437.841,2890.82,1616
434.006,2896.41,1617
430.159,2902.03,1618
426.301,2907.69,1619
422.431,2913.38,1620
418.549,2919.12,1621
414.655,2924.88,1622
410.749,2930.69,1623
406.831,2936.53,1624
402.901,2942.42,1625
398.958,2948.34,1626
395.004,2954.3,1627
391.036,2960.29,1628
387.056,2966.33,1629
383.063,2972.41,1630
379.057,2978.53,1631
375.038,2984.69,1632
371.006,2990.89,1633
366.961,2997.14,1634
362.902,3003.42,1635
358.829,3009.75,1636
354.743,3016.12,1637
350.643,3022.54,1638
346.529,3029,1639
342.401,3035.5,1640
338.259,3042.05,1641
334.102,3048.65,1642
329.931,3055.29,1643
325.745,3061.98,1644
321.544,3068.72,1645
317.329,3075.5,1646
313.098,3082.33,1647
308.851,3089.21,1648
304.59,3096.14,1649
300.312,3103.12,1650
296.019,3110.15,1651
291.709,3117.23,1652
287.384,3124.37,1653
283.042,3131.55,1654
278.683,3138.79,1655
274.308,3146.09,1656
269.916,3153.43,1657
265.507,3160.84,1658
261.08,3168.3,1659
256.636,3175.81,1660
252.174,3183.38,1661
247.695,3191.01,1662
243.197,3198.7,1663
238.68,3206.45,1664
234.145,3214.25,1665
229.592,3222.12,1666
225.019,3230.05,1667
220.427,3238.04,1668
215.815,3246.1,1669
211.184,3254.22,1670
206.532,3262.4,1671
201.861,3270.65,1672
197.168,3278.97,1673
192.455,3287.36,1674
187.721,3295.81,1675
182.966,3304.33,1676
178.189,3312.93,1677
173.39,3321.59,1678
168.568,3330.33,1679
163.725,3339.14,1680
158.858,3348.02,1681
153.968,3356.99,1682
149.055,3366.02,1683
144.118,3375.14,1684
139.157,3384.33,1685
134.171,3393.61,1686
129.161,3402.97,1687
124.125,3412.4,1688
119.064,3421.93,1689
113.976,3431.54,1690
108.863,3441.23,1691
103.722,3451.01,1692
98.555,3460.88,1693
93.36,3470.85,1694
88.137,3480.9,1695
82.8857,3491.05,1696
77.6054,3501.29,1697
72.2959,3511.63,1698
66.9565,3522.07,1699
61.5869,3532.61,1700
56.1865,3543.25,1701
50.7549,3553.99,1702
45.2914,3564.84,1703
39.7957,3575.8,1704
34.267,3586.86,1705
28.7049,3598.04,1706
23.1088,3609.33,1707
17.4781,3620.73,1708
11.8122,3632.25,1709
6.11046,3643.89,1710
0.372211,3655.65,1711
-5.40319,3667.53,1712
-11.2164,3679.54,1713
-17.0682,3691.68,1714
-22.9592,3703.95,1715
-28.8902,3716.35,1716
-34.862,3728.88,1717
-40.8753,3741.56,1718
-46.931,3754.38,1719
-53.0299,3767.34,1720
-59.1728,3780.44,1721
-65.3607,3793.7,1722
-71.5945,3807.11,1723
-77.8751,3820.68,1724
-84.2035,3834.41,1725
-90.5806,3848.3,1726
-97.0076,3862.36,1727
-103.486,3876.58,1728
-110.016,3890.99,1729
-116.599,3905.57,1730
-123.236,3920.33,1731
-129.929,3935.28,1732
-136.679,3950.42,1733
-143.487,3965.75,1734
-150.355,3981.29,1735
-157.284,3997.02,1736
-164.275,4012.97,1737
-171.33,4029.14,1738
-178.451,4045.52,1739
-185.639,4062.13,1740
-192.896,4078.97,1741
-200.224,4096.05,1742
-207.624,4113.38,1743
-215.098,4130.95,1744
-222.649,4148.79,1745
-230.279,4166.88,1746
-237.989,4185.25,1747
-237.989,4185.25,1748
-237.989,4185.25,1749
-237.989,4185.25,1750
-237.989,4185.25,1751
-237.989,4185.25,1752
-237.989,4185.25,1753
-237.989,4185.25,1754
-237.989,4185.25,1755
-237.989,4185.25,1756
-237.989,4185.25,1757
-237.989,4185.25,1758
-237.989,4185.25,1759
-237.989,4185.25,1760
-237.989,4185.25,1761
-237.989,4185.25,1762
-237.989,4185.25,1763
-237.989,4185.25,1764
-237.989,4185.25,1765
-237.989,4185.25,1766
-237.989,4185.25,1767
-237.989,4185.25,1768
-237.989,4185.25,1769
-237.989,4185.25,1770
-237.989,4185.25,1771
-237.989,4185.25,1772
-237.989,4185.25,1773
-237.989,4185.25,1774
-237.989,4185.25,1775
-237.989,4185.25,1776
-237.989,4185.25,1777
-237.989,4185.25,1778
-237.989,4185.25,1779
-237.989,4185.25,1780
-237.989,4185.25,1781
-237.989,4185.25,1782
-237.989,4185.25,1783
-237.989,4185.25,1784
-237.989,4185.25,1785
-237.989,4185.25,1786
-237.989,4185.25,1787
-237.989,4185.25,1788
-237.989,4185.25,1789
-237.989,4185.25,1790
-237.989,4185.25,1791
-237.989,4185.25,1792
-237.989,4185.25,1793
-237.989,4185.25,1794
-237.989,4185.25,1795
-237.989,4185.25,1796
-237.989,4185.25,1797
-237.989,4185.25,1798
-237.989,4185.25,1799
-237.989,4185.25,1800
-237.989,4185.25,1801
-237.989,4185.25,1802
-237.989,4185.25,1803
-237.989,4185.25,1804
-237.989,4185.25,1805
-237.989,4185.25,1806
-237.989,4185.25,1807
-237.989,4185.25,1808
-237.989,4185.25,1809
-237.989,4185.25,1810
-237.989,4185.25,1811
-237.989,4185.25,1812
-237.989,4185.25,1813
-237.989,4185.25,1814
-237.989,4185.25,1815
-237.989,4185.25,1816
-237.989,4185.25,1817
-237.989,4185.25,1818
-237.989,4185.25,1819
-237.989,4185.25,1820
-237.989,4185.25,1821
-237.989,4185.25,1822
-237.989,4185.25,1823
-237.989,4185.25,1824
-237.989,4185.25,1825
-237.989,4185.25,1826
-237.989,4185.25,1827
-237.989,4185.25,1828
-237.989,4185.25,1829
-237.989,4185.25,1830
-237.989,4185.25,1831
-237.989,4185.25,1832
-237.989,4185.25,1833
-237.989,4185.25,1834
-237.989,4185.25,1835
-237.989,4185.25,1836
-237.989,4185.25,1837
-237.989,4185.25,1838
-237.989,4185.25,1839
-237.989,4185.25,1840
-237.989,4185.25,1841
-237.989,4185.25,1842
-237.989,4185.25,1843
-237.989,4185.25,1844
-237.989,4185.25,1845
-237.989,4185.25,1846
-237.989,4185.25,1847
-237.989,4185.25,1848
-237.989,4185.25,1849
-237.989,4185.25,1850
-237.989,4185.25,1851
-237.989,4185.25,1852
-237.989,4185.25,1853
-237.989,4185.25,1854
-237.989,4185.25,1855
-237.989,4185.25,1856
-237.989,4185.25,1857
-237.989,4185.25,1858
-237.989,4185.25,1859
-237.989,4185.25,1860
-237.989,4185.25,1861
-237.989,4185.25,1862
-237.989,4185.25,1863
-237.989,4185.25,1864
-237.989,4185.25,1865
-237.989,4185.25,1866
-237.989,4185.25,1867
-237.989,4185.25,1868
-237.989,4185.25,1869
-237.989,4185.25,1870
